channel_tag,label,patient_id,condition,source,confidence,project_id,role,protomix_status,organ,disease
130C,tumor samples (9 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000120,,complete,Breast,Breast invasive carcinoma (BRCA)
126,126–130C = tumor/NAT samples,case_126,126–130C = tumor/NAT samples,csv:TMT Channels Comparison,0.5,PDC000125,case,complete,Uterus,Endometrial carcinoma (EC)
131,CompRef (pooled normal uterus),reference_131,CompRef (pooled normal uterus),csv:TMT Additional Channels,0.5,PDC000125,reference,complete,Uterus,Endometrial carcinoma (EC)
130C,tumor/NAT samples,case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000125,,complete,Uterus,Endometrial carcinoma (EC)
126,126–130C = tumor samples,case_126,126–130C = tumor samples,csv:TMT Channels Comparison,0.5,PDC000127,case,complete,Kidney,ccRCC
131,CompRef (pooled normal kidney),reference_131,CompRef (pooled normal kidney),csv:TMT Additional Channels,0.5,PDC000127,reference,complete,Kidney,ccRCC
130C,tumor samples; one plex has NAT as sample,case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000127,,complete,Kidney,ccRCC
126,126–130C = tumor/NAT samples,case_126,126–130C = tumor/NAT samples,csv:TMT Channels Comparison,0.5,PDC000153,case,complete,Lung,Lung adenocarcinoma
131,CompRef (pooled normal lung),reference_131,CompRef (pooled normal lung),csv:TMT Additional Channels,0.5,PDC000153,reference,complete,Lung,Lung adenocarcinoma
130C,tumor/NAT samples,case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000153,,complete,Lung,Lung adenocarcinoma
126,126–131N = tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison,0.5,PDC000180,case,complete,Brain,Pediatric/AYA Brain Tumors
131C,pooled reference,reference_131C,pooled reference,csv:TMT Additional Channels,0.5,PDC000180,reference,complete,Brain,Pediatric/AYA Brain Tumors
131N,tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000180,,complete,Brain,Pediatric/AYA Brain Tumors
126,126–131N = tumor/normal samples (10 per plex),control_126,126–131N = tumor/normal samples (10 per plex),csv:TMT Channels Comparison,0.5,PDC000198,control,complete,Liver,Hepatocellular carcinoma
131C,pooled reference,reference_131C,pooled reference,csv:TMT Additional Channels,0.5,PDC000198,reference,complete,Liver,Hepatocellular carcinoma
131N,tumor/normal samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000198,,complete,Liver,Hepatocellular carcinoma
126,126–131N = tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison,0.5,PDC000204,case,complete,Brain,Glioblastoma multiforme (GBM)
131C,CompRef (pooled normal brain),reference_131C,CompRef (pooled normal brain),csv:TMT Additional Channels,0.5,PDC000204,reference,complete,Brain,Glioblastoma multiforme (GBM)
131N,tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000204,,complete,Brain,Glioblastoma multiforme (GBM)
126,126–130C = tumor/NAT samples,case_126,126–130C = tumor/NAT samples,csv:TMT Channels Comparison,0.5,PDC000219,case,complete,Lung,Lung adenocarcinoma
131,pooled reference,reference_131,pooled reference,csv:TMT Additional Channels,0.5,PDC000219,reference,complete,Lung,Lung adenocarcinoma
130C,tumor/NAT samples,case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000219,,complete,Lung,Lung adenocarcinoma
126,126–131N = tumor/normal samples,control_126,126–131N = tumor/normal samples,csv:TMT Channels Comparison,0.5,PDC000221,control,complete,Head and neck,Head and Neck Squamous Cell Carcinoma
131C,CompRef (pooled normal),reference_131C,CompRef (pooled normal),csv:TMT Additional Channels,0.5,PDC000221,reference,complete,Head and neck,Head and Neck Squamous Cell Carcinoma
131N,tumor/normal samples,case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000221,,complete,Head and neck,Head and Neck Squamous Cell Carcinoma
126,126–131N = tumor/NAT samples,case_126,126–131N = tumor/NAT samples,csv:TMT Channels Comparison,0.5,PDC000234,case,complete,Lung,Lung squamous cell carcinoma
131C,CompRef (pooled normal lung),reference_131C,CompRef (pooled normal lung),csv:TMT Additional Channels,0.5,PDC000234,reference,complete,Lung,Lung squamous cell carcinoma
131N,tumor/NAT samples,case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000234,,complete,Lung,Lung squamous cell carcinoma
126,126–130C = tumor/normal samples,control_126,126–130C = tumor/normal samples,csv:TMT Channels Comparison,0.5,PDC000248,control,complete,Pancreas,Pancreatic ductal adenocarcinoma
131,pooled reference,reference_131,pooled reference,csv:TMT Additional Channels,0.5,PDC000248,reference,complete,Pancreas,Pancreatic ductal adenocarcinoma
130C,tumor/normal samples,case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000248,,complete,Pancreas,Pancreatic ductal adenocarcinoma
126,126–131N = tumor/NAT samples,case_126,126–131N = tumor/NAT samples,csv:TMT Channels Comparison,0.5,PDC000270,case,complete,Pancreas,Pancreatic ductal adenocarcinoma
131C,CompRef (pooled NAT),reference_131C,CompRef (pooled NAT),csv:TMT Additional Channels,0.5,PDC000270,reference,complete,Pancreas,Pancreatic ductal adenocarcinoma
131N,tumor/NAT samples,case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000270,,complete,Pancreas,Pancreatic ductal adenocarcinoma
126,126–130C = cell lines and mixes,reference_126,126–130C = cell lines and mixes,csv:TMT Channels Comparison,0.5,PDC000295,reference,complete,Lung; Breast; Colon; Blood,Multiple cancer cell lines
131,pooled reference,reference_131,pooled reference,csv:TMT Additional Channels,0.5,PDC000295,reference,complete,Lung; Breast; Colon; Blood,Multiple cancer cell lines
130C,cell lines and mixes,,cell lines and mixes,csv:TMT Channels Comparison,0.8,PDC000295,,complete,Lung; Breast; Colon; Blood,Multiple cancer cell lines
126,126–131N = cell line conditions/timepoints,reference_126,126–131N = cell line conditions/timepoints,csv:TMT Channels Comparison,0.5,PDC000315,reference,complete,Hematopoietic system,Acute myeloid leukemia
131C,pooled reference,reference_131C,pooled reference,csv:TMT Additional Channels,0.5,PDC000315,reference,complete,Hematopoietic system,Acute myeloid leukemia
131N,cell line conditions/timepoints,,cell line conditions/timepoints,csv:TMT Channels Comparison,0.8,PDC000315,,complete,Hematopoietic system,Acute myeloid leukemia
126,126–131N = time points per plex,reference_126,126–131N = time points per plex,csv:TMT Channels Comparison,0.5,PDC000316,reference,complete,Hematopoietic system,Acute Myeloid Leukemia
131C,pooled reference,reference_131C,pooled reference,csv:TMT Additional Channels,0.5,PDC000316,reference,complete,Hematopoietic system,Acute Myeloid Leukemia
131N,time points per plex,,time points per plex,csv:TMT Channels Comparison,0.8,PDC000316,,complete,Hematopoietic system,Acute Myeloid Leukemia
